Variables;Units;Description;Category 1 ;Category 2;Category 3;Category 4;Category 5;Category 6;URI;Mesures chimiques;Commentaires observatoire
Aboveground Maximum Herbaceous Mass;;;BIOSPHERE;VEGETATION;;;;;https://w3id.org/ozcar-theia/vegetation;;
Aboveground Maximum Herbaceous Mass Standard Deviation;;;BIOSPHERE;VEGETATION;;;;;https://w3id.org/ozcar-theia/vegetation;;
Air Pressure;;;ATMOSPHERE;ATMOSPHERIC PRESSURE;;;;;https://w3id.org/ozcar-theia/atmosphericPressure;;
Air Pressure at height 5 m;;;ATMOSPHERE;ATMOSPHERIC PRESSURE;;;;;https://w3id.org/ozcar-theia/atmosphericPressure;;
Air Temperature;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Air Temperature at height 15 m;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Air Temperature at height 18 m;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Air Temperature at height 5 m;;;ATMOSPHERE;ATMOSPHERIC TEMPERATURE;;;;;https://w3id.org/ozcar-theia/atmosphericTemperature;;
Aluminium;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Arsenic;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Barium;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
Boron;;;TERRESTRIAL HYDROSPHERE;GROUNDWATER;GROUNDWATER CHEMISTRY;METALS AND METALLOIDS (GROUNDWATER);METALLIC TRACE ELEMENTS (GROUNDWATER);;https://w3id.org/ozcar-theia/groundwaterMetallicTraceElements;DISSOLVED;
